mat;dep;par;uf
453;LEANDRE ; PV;PR
454;LUIZ CARLOS HAULY ; PSDB;PR
455;JOÃO ARRUDA ; PMDB;PR
456;LEOPOLDO MEYER ; PSB;PR
457;LUCIANO DUCCI ; PSB;PR
458;NELSON MEURER ; PP;PR
459;LUIZ NISHIMORI ; PR;PR
460;RUBENS BUENO ; PPS;PR
461;MARCELO BELINATI ; PP;PR
462;RICARDO BARROS ; PP;PR
463;OSMAR SERRAGLIO ; PMDB;PR
464;ROSSONI ; PSDB;PR
465;SANDRO ALEX ; PPS;PR
466;GIACOBO ; PR;PR
467;SERGIO SOUZA  ; PMDB;PR
468;ZECA DIRCEU ; PT;PR
469;TAKAYAMA ; PSC;PR
470;TONINHO WANDSCHEER ; PT;PR
471;ESPERIDIÃO AMIN ; PP;SC
472;CELSO MALDANER ; PMDB;SC
473;JOÃO RODRIGUES ; PSD;SC
474;JORGE BOEIRA ; PP;SC
475;DÉCIO LIMA ; PT;SC
476;JORGINHO MELLO ; PR;SC
477;CARMEN ZANOTTO ; PPS;SC
478;MARCO TEBALDI ; PSDB;SC
479;CESAR SOUZA ; PSD;SC
480;MAURO MARIANI ; PMDB;SC
481;PEDRO UCZAI ; PT;SC
482;GEOVANIA DE SÁ ; PSDB;SC
483;ROGÉRIO PENINHA MENDONÇA ; PMDB;SC
484;RONALDO BENEDET ; PMDB;SC
485;JOÃO PAULO KLEINÜBING ; PSD;SC
486;ALCEU MOREIRA ; PMDB;RS
487;AFONSO HAMM ; PP;RS
488;LUIZ CARLOS BUSATO ; PTB;RS
489;VALDIR COLATTO ; PMDB;SC
490;AFONSO MOTTA ; PDT;RS
491;DARCÍSIO PERONDI ; PMDB;RS
492;CARLOS GOMES ; PRB;RS
493;COVATTI FILHO ; PP;RS
494;GIOVANI FELTES ; PMDB;RS
495;DANRLEI DE DEUS HINTERHOLZ ; PSD;RS
496;MARCO MAIA ; PT;RS
497;OSMAR TERRA ; PMDB;RS
498;HENRIQUE FONTANA ; PT;RS
499;BOHN GASS ; PT;RS
500;LUIS CARLOS HEINZE ; PP;RS
501;JOSÉ OTÁVIO GERMANO ; PP;RS
502;GIOVANI CHERINI ; PDT;RS
504;HEITOR SCHUCH ; PSB;RS
505;JERÔNIMO GOERGEN ; PP;RS
506;JOSE STÉDILE ; PSB;RS
507;MARCON ; PT;RS
508;MARIA DO ROSÁRIO ; PT;RS
509;NELSON MARCHEZAN JUNIOR ; PSDB;RS
510;ONYX LORENZONI ; DEM;RS
511;RENATO MOLLING ; PP;RS
512;SÉRGIO MORAES ; PTB;RS
513;PAULO PIMENTA ; PT;RS
514;JOÃO DERLY ; PCdoB;RS
515;MÁRCIO BIOLCHI ; PMDB;RS
516;POMPEO DE MATTOS ; PDT;RS
517;RONALDO NOGUEIRA ; PTB;RS
518;WALTER IHOSHI ; PSD;SP
519;ANTONIO CARLOS MENDES THAME ; PSDB;SP
520;ADEMIR CAMILO ; PROS;MG
521;LOBBE NETO ; PSDB;SP
522;MARCELO AGUIAR ; DEM;SP
523;FERNANDO TORRES ; PSD;BA
524;SANDES JÚNIOR ; PP;GO
525;DAVIDSON MAGALHÃES ; PCdoB;BA
526;SILAS BRASILEIRO ; PMDB;MG
527;WADSON RIBEIRO ; PCdoB;MG
528;AUGUSTO COUTINHO  ; SD;PE
529;FERNANDO MONTEIRO  ; PP;PE
530;CARLOS EDUARDO CADOCA ; PCdoB;PE
531;OSMAR BERTOLDI ; DEM;PR
532;EDINHO BEZ ; PMDB;SC
533;WILLIAM WOO ; PV;SP
534;FERNANDO MARRONI ; PT;RS
535;WALNEY ROCHA ; PTB;RJ
536;MARQUINHO MENDES ; PMDB;RJ
537;CELSO JACOB ; PMDB;RJ
538;ELIZEU DIONIZIO  ; SD;MS
539;JOSÉ FOGAÇA  ; PMDB;RS
540;MAURO PEREIRA ; PMDB;RS
541;RAUL JUNGMANN ; PPS;PE
542;NILMÁRIO MIRANDA ; PT;MG
543;DEOCLIDES MACEDO ; PDT;MA
544;PASTOR FRANKLIN ; PTdoB;MG
545;SILAS FREIRE ; PR;PI
546;ROBERTO FREIRE ; PPS;SP
547;MERLONG SOLANO ; PT;PI
548;ALBERTO FILHO ; PMDB;MA
549;MAINHA ; SD;PI
550;WADIH DAMOUS ; PT;RJ
551;PENNA ; PV;SP
552;FABRICIO OLIVEIRA ; PSB;SC
